,Date,Open,High,Low,Close,Adj Close,Volume,50_EMA,200_EMA,RSI,Upper_BB,Middle_BB,Lower_BB,MACD,MACD_Signal,ATR
0,2024-12-05,2674.2,2655.0,2644.5,2669.4,2669.4,"39,268",,,,,,,,,
1,2024-12-04,2639.2,2658.3,2637.0,2653.8,2653.8,"1,062",,,,,,,,,
2,2024-12-03,2639.0,2654.7,2636.0,2644.7,2644.7,"1,062",,,,,,,,,
3,2024-12-02,2649.0,2649.8,2621.7,2634.9,2634.9,695,,,,,,,,,
4,2024-11-29,2636.4,2664.3,2620.7,2657.0,2657.0,"3,861",,,,,,,,,
5,2024-11-28,2636.4,2648.6,2620.7,2639.7,2639.7,"61,653",,,,,,,,,
6,2024-11-27,2633.5,2657.9,2627.2,2639.9,2639.9,"61,653",,,,,,,,,
7,2024-11-26,2625.6,2625.6,2620.3,2620.3,2620.3,"177,858",,,,,,,,,
8,2024-11-25,2689.4,2689.4,2616.8,2616.8,2616.8,94,,,,,,,,,
9,2024-11-22,2687.5,2710.5,2685.6,2709.9,2709.9,41,,,,,,,,,
10,2024-11-21,2659.3,2672.1,2655.7,2672.1,2672.1,33,,,,,,,,,
11,2024-11-20,2638.5,2648.2,2638.5,2648.2,2648.2,27,,,,,,,,,
12,2024-11-19,2621.9,2627.7,2619.3,2627.1,2627.1,87,,,,,,,,,
13,2024-11-18,2591.7,2610.7,2589.4,2610.6,2610.6,136,,,,,,,,,
14,2024-11-15,2565.7,2565.7,2565.7,2565.7,2565.7,20,,,34.499252615844526,,,,,,41.071428571428605
15,2024-11-14,2555.1,2576.2,2554.2,2568.2,2568.2,27,,,35.02224250028514,,,,,,39.70918367346942
16,2024-11-13,2611.1,2611.8,2580.8,2580.8,2580.8,53,,,37.72123837988672,,,,,,39.98709912536448
17,2024-11-12,2605.5,2605.5,2592.8,2600.0,2600.0,118,,,41.69548708207875,,,,,,38.89516347355272
18,2024-11-11,2671.7,2671.7,2611.2,2611.2,2611.2,20,,,43.942722405258685,,,,,,41.23836608258466
19,2024-11-08,2688.5,2694.6,2682.9,2687.5,2687.5,"1,038",,,56.29991602088486,2706.629783021124,2632.89,2559.150216978876,,,44.24991136240005
20,2024-11-07,2662.5,2699.1,2662.5,2698.4,2698.4,676,,,57.733332840227334,2711.9342111243104,2634.3399999999997,2556.745788875689,,,43.70348912222861
21,2024-11-06,2734.5,2734.5,2659.4,2667.6,2667.6,427,,,52.49364014991807,2713.544103191701,2635.0299999999997,2556.5158968082983,,,45.94609704206942
22,2024-11-05,2743.0,2743.9,2740.3,2740.3,2740.3,23,,,61.39891081362395,2730.753518735512,2639.81,2548.866481264488,,,48.11423296763591
23,2024-11-04,2736.5,2737.1,2736.1,2736.1,2736.1,16,,,60.69109557254252,2744.9591622504427,2644.87,2544.780837749557,,,44.97750204137622
24,2024-11-01,2745.5,2756.0,2734.2,2738.6,2738.6,109,,,60.97945092732466,2757.018913198925,2648.95,2540.8810868010746,,,43.321966181277936
25,2024-10-31,2787.4,2787.5,2733.5,2738.3,2738.3,849,,,60.921697866149735,2768.6024581326033,2653.88,2539.157541867397,,,44.08468288261523
26,2024-10-30,2774.6,2789.0,2774.6,2788.5,2788.5,231,,,66.6188737841487,2789.8628825036362,2661.31,2532.7571174963637,,,44.55720553385699
27,2024-10-29,2768.4,2768.4,2768.4,2768.4,2768.4,848,,,62.67865245095629,2803.858616571409,2668.7149999999997,2533.5713834285903,,,42.810262281438625
28,2024-10-28,2736.1,2742.9,2729.5,2742.9,2742.9,56,,,57.992424563686576,2811.6451602011853,2675.0199999999995,2538.394839798814,,,42.53095783276444
29,2024-10-25,2725.5,2742.4,2725.5,2740.9,2740.9,29,,,57.628496504718306,2815.4279720433715,2676.5699999999997,2537.712027956628,,,40.73588941613842
30,2024-10-24,2729.0,2736.1,2729.0,2734.9,2734.9,27,,,56.48332516950711,2820.8431980789474,2679.71,2538.5768019210527,,,38.67618302927139
31,2024-10-23,2742.5,2742.5,2714.2,2714.4,2714.4,18,,,52.63480727243296,2824.1471001615023,2683.02,2541.8928998384977,,,37.93502709860916
32,2024-10-22,2731.7,2746.0,2728.6,2744.2,2744.2,93,,,57.2000474314556,2829.9527214870945,2688.875,2547.7972785129055,,,37.48252516299421
33,2024-10-21,2721.9,2738.4,2719.5,2723.1,2723.1,52,,,53.283965804301026,2831.559242665317,2694.5,2557.440757334683,24.38693604894388,22.628609039075148,36.56948765135175
34,2024-10-18,2713.7,2719.6,2713.7,2713.7,2713.7,29,,,51.589447345970605,2825.6822119691974,2701.9,2578.117788030803,22.23009511535247,22.54890625433061,34.62880996196949
35,2024-10-17,2677.4,2691.7,2677.2,2691.0,2691.0,30,,,47.64865881211301,2815.8354618710155,2708.04,2600.2445381289845,18.476101846978963,21.734345372860282,34.762466393257384
36,2024-10-16,2674.0,2674.0,2674.0,2674.0,2674.0,6,,,44.88352015567469,2805.0403487105764,2712.7,2620.3596512894233,13.968259806550122,20.18112825959825,33.493718793739
37,2024-10-15,2661.4,2661.4,2661.4,2661.4,2661.4,39,,,42.896534429659404,2796.238132822809,2715.77,2635.301867177191,9.272164079074173,17.999335423493434,32.00131030847192
38,2024-10-14,2655.0,2655.3,2647.8,2647.8,2647.8,40,,,40.79715580857514,2789.702232975033,2717.6000000000004,2645.4977670249677,4.402320827301082,15.279932504254964,30.68693100072392
39,2024-10-11,2638.3,2658.1,2638.2,2657.6,2657.6,12,,,42.96333575853955,2791.792448761202,2716.1050000000005,2640.4175512387988,1.3185140536634208,12.487648814136655,29.916435929243647
40,2024-10-10,2602.5,2628.3,2602.5,2620.6,2620.6,320,,,37.39945776888848,2798.4101802596174,2712.215,2626.019819740383,-4.064166627148552,9.177285725879614,31.71526193429767
